host;pfad;suchabsicht;cluster;rolle;indexierung;canonical;sitemap
smart-einzug.de;/hilfe/;Ein Bestandsnutzer oder Interessent sucht die Hilfeübersicht oder häufige Fragen zu SmartEinzug (Marken- und Navigationssuche).;C08_hilfe_faq_hub;primaer;index;self;ja
lexware-einzug.de;/faq;Ein Bestandsnutzer oder Interessent sucht die Hilfeübersicht oder häufige Fragen zu SmartEinzug (Marken- und Navigationssuche).;C08_hilfe_faq_hub;ergaenzend;index;self;ja
smart-einzug.de;/funktionen/;Ein Interessent will wissen, welche Funktionen SmartEinzug bietet.;C09_funktionen;primaer;index;self;ja
lexware-einzug.de;/funktionen;Ein Interessent will wissen, welche Funktionen SmartEinzug bietet.;C09_funktionen;konkurrent;index;self;ja
smart-einzug.de;/preise/;Ein Interessent will wissen, was SmartEinzug kostet und was im Tarif UNLIMITED START enthalten ist.;C10_preise;primaer;index;self;ja
lexware-einzug.de;/preise;Ein Interessent will wissen, was SmartEinzug kostet und was im Tarif UNLIMITED START enthalten ist.;C10_preise;konkurrent;index;self;ja
smart-einzug.de;/sicherheit/;Ein Interessent oder Kunde will wissen, wie SmartEinzug Zugangsdaten, Mandantendaten und Zahlungsvorgänge schützt.;C11_sicherheit;primaer;index;self;ja
smart-einzug.de;/integrationen/;Ein Interessent will wissen, welche Rechnungssysteme SmartEinzug anbindet.;C12_integrationen_uebersicht;primaer;index;self;ja
smart-einzug.de;/integrationen/sevdesk/;Ein sevdesk-Nutzer sucht eine Möglichkeit, sevdesk-Rechnungen per SEPA-Lastschrift einzuziehen, und will sich für die geplante Anbindung vormerken.;C13_sevdesk;primaer;index;self;ja
sevdesk-einzug.de;/;Ein sevdesk-Nutzer sucht eine Möglichkeit, sevdesk-Rechnungen per SEPA-Lastschrift einzuziehen, und will sich für die geplante Anbindung vormerken.;C13_sevdesk;ergaenzend;index;self;ja
lexoffice-einzug.de;/lexoffice-heisst-jetzt-lexware-office;Ein Nutzer will wissen, ob lexoffice und Lexware Office dasselbe sind und was sich durch die Umbenennung ändert.;C14_lexoffice_umbenennung;primaer;index;self;ja
lexware-einzug.de;/lexware-office-sepa-mandat;Ein Unternehmen will SEPA-Mandate zu seinen Lexware-Office-Kunden hinterlegen, Rechnungen zuordnen und verwalten.;C15_sepa_mandat_verwalten_produkt;primaer;index;self;ja
smart-einzug.de;/wissen/mandatsreferenz-und-glaeubiger-id/;Ein Unternehmen oder Zahlungspflichtiger will verstehen, was ein SEPA-Mandat ist, welche Pflichtangaben es hat und wie Widerruf, Verfall, Mandatsreferenz und Gläubiger-ID funktionieren.;C16_sepa_mandat_wissen;ergaenzend;index;self;ja
smart-einzug.de;/wissen/sepa-mandat/;Ein Unternehmen oder Zahlungspflichtiger will verstehen, was ein SEPA-Mandat ist, welche Pflichtangaben es hat und wie Widerruf, Verfall, Mandatsreferenz und Gläubiger-ID funktionieren.;C16_sepa_mandat_wissen;primaer;index;self;ja
smart-einzug.de;/wissen/sepa-mandat-einholen/;Ein Unternehmen will von bestehenden Kunden ein SEPA-Mandat einholen und sucht Vorgehen und Anschreiben.;C17_mandat_einholen_bestandskunden;primaer;index;self;ja
smart-einzug.de;/wissen/ruecklastschrift/;Ein Unternehmen oder Zahlungspflichtiger will verstehen, warum eine Lastschrift zurückgegangen ist, welche Fristen und Kosten gelten und was zu tun ist.;C18_ruecklastschrift;primaer;index;self;ja
smart-einzug.de;/wissen/fristen-und-vorlaufzeiten/;Ein Unternehmen will wissen, wie lange eine SEPA-Lastschrift dauert, welche Fristen und Vorlaufzeiten gelten und wann sie als bezahlt gilt.;C19_ablauf_fristen_zahlungsstatus;primaer;index;self;ja
smart-einzug.de;/wissen/zahlungsstatus-einer-lastschrift/;Ein Unternehmen will wissen, wie lange eine SEPA-Lastschrift dauert, welche Fristen und Vorlaufzeiten gelten und wann sie als bezahlt gilt.;C19_ablauf_fristen_zahlungsstatus;ergaenzend;index;self;ja
smart-einzug.de;/wissen/vorabankuendigung/;Ein Unternehmen will wissen, was die Vorabankündigung einer SEPA-Lastschrift ist und welche Frist üblich ist.;C20_vorabankuendigung;primaer;index;self;ja
smart-einzug.de;/wissen/lastschrift-oder-ueberweisung/;Ein Unternehmen prüft, ob sich SEPA-Lastschrift für den eigenen Betrieb lohnt oder ob die Überweisung sinnvoller bleibt.;C21_lastschrift_oder_ueberweisung;primaer;index;self;ja
smart-einzug.de;/wissen/lastschrift-in-lexware-office-verbuchen/;Ein Bestandsnutzer will eingezogene Stripe-Lastschriften, Sammelauszahlungen, Gebühren und Rücklastschriften in Lexware Office verbuchen.;C22_lastschrift_verbuchen_lexware_office;primaer;index;self;ja
smart-einzug.de;/wissen/kunden-und-rechnungen-zuordnen/;Ein Bestandsnutzer will verstehen, wie SmartEinzug Kunden und Rechnungen aus Lexware Office erkennt, dedupliziert und zuordnet.;C23_kunden_rechnungen_zuordnen;primaer;index;self;ja
smart-einzug.de;/wissen/;Ein Leser sucht eine Übersicht von Ratgeberartikeln zur SEPA-Lastschrift (Navigations- und Einstiegsseite).;C24_ratgeber_uebersicht;primaer;index;self;ja
smart-einzug.de;/anleitungen/;Ein Leser sucht eine Übersicht von Ratgeberartikeln zur SEPA-Lastschrift (Navigations- und Einstiegsseite).;C24_ratgeber_uebersicht;ergaenzend;index;self;ja
smart-einzug.de;/vergleich/sepaheld-gocardless/;Ein Interessent vergleicht SmartEinzug mit anderen Lastschriftanbietern (SEPA-Held, GoCardless).;C27_vergleich_wettbewerber;ergaenzend;noindex;self;nein
smart-einzug.de;/kontakt/;Ein Kunde oder Interessent will SmartEinzug kontaktieren (Navigationssuche).;C28_kontakt;primaer;index;self;ja
smart-einzug.de;/404;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;technisch;noindex;self;nein
smart-einzug.de;/agb/;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
smart-einzug.de;/datenschutz/;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
smart-einzug.de;/impressum/;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
lexoffice-einzug.de;/404;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;technisch;noindex;self;nein
lexoffice-einzug.de;/agb;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
lexoffice-einzug.de;/datenschutz;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
lexoffice-einzug.de;/impressum;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
lexware-einzug.de;/404;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;technisch;noindex;self;nein
lexware-einzug.de;/agb;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
lexware-einzug.de;/datenschutz;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
lexware-einzug.de;/impressum;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
sevdesk-einzug.de;/impressum;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
sevdesk-einzug.de;/datenschutz;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
sevdesk-einzug.de;/404;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;technisch;noindex;self;nein
sevdesk-sepa.de;/impressum;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
sevdesk-sepa.de;/datenschutz;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;rechtlich;index;self;ja
sevdesk-sepa.de;/404;Keine eigene Suchintention: Rechtsseiten (Impressum, Datenschutz, AGB) und Fehlerseiten, die je Domain vorhanden sein müssen.;C29_rechtlich_technisch;technisch;noindex;self;nein
sevdesk-sepa.de;/;Ein Unternehmen, das Rechnungen in sevdesk schreibt, will das SEPA-Lastschriftverfahren verstehen und den Einzug vorbereiten (Mandat, Gläubiger-ID, Vorabankündigung, Rücklastschrift).;C30_sevdesk_sepa_wissen;primaer;index;self;ja
