source_url;target_url;type;reason;priority;server_action_required
https://sepa-einzug.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^agb/?$;https://smart-einzug.de/agb/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^agb/?$;https://smart-einzug.de/agb/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^$;https://smart-einzug.de/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^$;https://smart-einzug.de/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^;-;404 temporaer;.html-Endung entfernen (eine kanonische URL-Form);MEDIUM;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^preise/?$;https://smart-einzug.de/preise/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^preise/?$;https://smart-einzug.de/preise/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^funktionen/?$;https://smart-einzug.de/funktionen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^funktionen/?$;https://smart-einzug.de/funktionen/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^hilfe/?$;https://smart-einzug.de/hilfe/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^hilfe/?$;https://smart-einzug.de/hilfe/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^impressum/?$;https://smart-einzug.de/impressum/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^impressum/?$;https://smart-einzug.de/impressum/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^agb/?$;https://smart-einzug.de/agb/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^agb/?$;https://smart-einzug.de/agb/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^$;https://smart-einzug.de/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^$;https://smart-einzug.de/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://sepaeinzug.de/^;-;404 temporaer;.html-Endung entfernen (eine kanonische URL-Form);MEDIUM;nein, bereits in websites/aliases/sepaeinzug.de/.htaccess umgesetzt
https://smart-lastschrift.de/^preise/?$;https://smart-einzug.de/preise/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^preise/?$;https://smart-einzug.de/preise/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^funktionen/?$;https://smart-einzug.de/funktionen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^funktionen/?$;https://smart-einzug.de/funktionen/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^hilfe/?$;https://smart-einzug.de/hilfe/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^hilfe/?$;https://smart-einzug.de/hilfe/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^impressum/?$;https://smart-einzug.de/impressum/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^impressum/?$;https://smart-einzug.de/impressum/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^agb/?$;https://smart-einzug.de/agb/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^agb/?$;https://smart-einzug.de/agb/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^$;https://smart-einzug.de/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^$;https://smart-einzug.de/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smart-lastschrift.de/^;-;404 temporaer;.html-Endung entfernen (eine kanonische URL-Form);MEDIUM;nein, bereits in websites/aliases/smart-lastschrift.de/.htaccess umgesetzt
https://smarteinzug.de/^preise/?$;https://smart-einzug.de/preise/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^preise/?$;https://smart-einzug.de/preise/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^funktionen/?$;https://smart-einzug.de/funktionen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^funktionen/?$;https://smart-einzug.de/funktionen/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^hilfe/?$;https://smart-einzug.de/hilfe/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^hilfe/?$;https://smart-einzug.de/hilfe/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^impressum/?$;https://smart-einzug.de/impressum/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^impressum/?$;https://smart-einzug.de/impressum/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^agb/?$;https://smart-einzug.de/agb/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^agb/?$;https://smart-einzug.de/agb/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^$;https://smart-einzug.de/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^$;https://smart-einzug.de/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
https://smarteinzug.de/^;-;404 temporaer;.html-Endung entfernen (eine kanonische URL-Form);MEDIUM;nein, bereits in websites/aliases/smarteinzug.de/.htaccess umgesetzt
